SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,7248 Starbrook St,Portage,MI,49024,139000,4,2.0,K19 - North Portage,1872,10019,1970,2,74,,Active,,,http://www.redfin.com/MI/Portage/7248-Starbrook-St-49024/home/96503975,SW Michigan MLS,19058736,N,Y,42.2113358,-85.6118848
MLS Listing,,Single Family Residential,5394 Burning Tree Rd,Kalamazoo,MI,49009,269900,4,2.5,K25 - Texas Township,2110,22651,1981,3,128,,Active,,,http://www.redfin.com/MI/Kalamazoo/5394-Burning-Tree-Rd-49009/home/111954447,SW Michigan MLS,19058696,N,Y,42.2096091,-85.6560705
MLS Listing,,Single Family Residential,7827 Drake Rdg,Kalamazoo,MI,49009,445000,4,3.5,K25 - Texas Township,2438,140,2015,3,183,,Active,,,http://www.redfin.com/MI/Kalamazoo/7827-Drake-Rdg-49009/home/111944989,SW Michigan MLS,19058658,N,Y,42.2035454,-85.6931244
MLS Listing,,Single Family Residential,7701 E N Ave,Kalamazoo,MI,49048,48000,3,2.5,K13 - Comstock & Charleston,1734,132422,1989,3,28,,Active,,,http://www.redfin.com/MI/Kalamazoo/7701-E-N-Ave-49048/home/96377261,SW Michigan MLS,19058630,N,Y,42.2452167,-85.4792695
MLS Listing,,Single Family Residential,9946 Navy Pier St,Portage,MI,49002,329900,4,3.5,K20 - South Portage,3300,,2007,4,100,,Active,,,http://www.redfin.com/MI/Portage/9946-Navy-Pier-St-49002/home/96166032,SW Michigan MLS,19058560,N,Y,42.1729666,-85.5649489
MLS Listing,,Single Family Residential,8297 S 10th St,Kalamazoo,MI,49009,209914,5,3.0,K25 - Texas Township,3144,41818,1964,4,67,,Active,,,http://www.redfin.com/MI/Kalamazoo/8297-S-10th-St-49009/home/96797731,SW Michigan MLS,19058539,N,Y,42.1985786,-85.6667582
MLS Listing,,Single Family Residential,5783 Saddle Club Dr,Kalamazoo,MI,49009,430000,4,3.5,K25 - Texas Township,3448,21170,1990,4,125,,Active,,,http://www.redfin.com/MI/Kalamazoo/5783-Saddle-Club-Dr-49009/home/96720004,SW Michigan MLS,19058536,N,Y,42.2045988,-85.6635148
MLS Listing,,Single Family Residential,7779 Corners Cove St,Kalamazoo,MI,49009,634500,4,3.5,K25 - Texas Township,2724,18295,2019,4,233,,Active,,,http://www.redfin.com/MI/Kalamazoo/7779-Corners-Cove-ST-Unknown/home/170135775,SW Michigan MLS,19058526,N,Y,42.204495,-85.692245
MLS Listing,,Single Family Residential,7299 Brindle Trl,Kalamazoo,MI,49009,304000,5,2.5,K25 - Texas Township,3453,10890,2010,4,88,98,Active,,,http://www.redfin.com/MI/Kalamazoo/7299-Brindle-Trl-49009/home/96324763,SW Michigan MLS,19058494,N,Y,42.2111296,-85.6713794
MLS Listing,,Single Family Residential,4322 Stratford Drive Dr,Portage,MI,49024,150000,4,1.5,K19 - North Portage,1546,9104,1961,5,97,,Active,,,http://www.redfin.com/MI/Portage/4322-Stratford-Dr-49024/home/96331879,SW Michigan MLS,19058452,N,Y,42.2314024,-85.6416206
MLS Listing,,Single Family Residential,624 Parker Ave,Kalamazoo,MI,49008,119999,3,2.0,K03 - Westnedge-Whites Rd,1522,10019,1943,5,79,,Active,,,http://www.redfin.com/MI/Kalamazoo/624-Parker-Ave-49008/home/96123985,SW Michigan MLS,19058385,N,Y,42.2537806,-85.591819
MLS Listing,,Single Family Residential,4339 Squire Heath Rd,Portage,MI,49024,350000,4,3.0,K19 - North Portage,3267,21344,1985,6,107,,Active,,,http://www.redfin.com/MI/Portage/4339-Squire-Heath-Rd-49024/home/111977854,SW Michigan MLS,19058330,N,Y,42.2058157,-85.641259
MLS Listing,,Single Family Residential,7259 Hopkinton Dr,Kalamazoo,MI,49009,299900,4,2.5,K25 - Texas Township,2393,14925,,6,125,17,Active,,,http://www.redfin.com/MI/Texas-Charter-Township/Hopkinton-Dr-49009/home/169995737,SW Michigan MLS,19058328,N,Y,42.211814,-85.659207
MLS Listing,,Single Family Residential,7135 Hopkinton Dr,Kalamazoo,MI,49009,329900,4,2.5,K25 - Texas Township,2735,13849,,6,121,17,Active,,,http://www.redfin.com/MI/Texas-Charter-Township/Hopkinton-Dr-49009/home/169995731,SW Michigan MLS,19058313,N,Y,42.213878,-85.65943
MLS Listing,,Single Family Residential,3513 Lowden St,Kalamazoo,MI,49008,134900,4,1.0,K04 - Oakwood-Parkview,1296,6098,1930,6,104,,Active,,,http://www.redfin.com/MI/Kalamazoo/3513-Lowden-St-49008/home/96270945,SW Michigan MLS,19058241,N,Y,42.2575487,-85.6255535
MLS Listing,,Single Family Residential,716 W Kilgore Rd,Kalamazoo,MI,49008,154900,2,1.0,K03 - Westnedge-Whites Rd,1155,7930,1952,6,134,,Active,,,http://www.redfin.com/MI/Kalamazoo/716-W-Kilgore-Rd-49008/home/111976652,SW Michigan MLS,19058222,N,Y,42.2453559,-85.5927015
MLS Listing,,Multi-Family (2-4 Unit),,Kalamazoo,MI,49001,149900,5,2.0,,,5968,1972,7,,,Active,,,http://www.redfin.com/MI/Kalamazoo/Undisclosed-address-49001/home/96847168,SW Michigan MLS,19058094,N,Y,42.2610073,-85.5697931
MLS Listing,,Single Family Residential,1419 Edington St,Portage,MI,49024,179900,4,1.5,K19 - North Portage,2272,18731,1963,8,79,,Active,,,http://www.redfin.com/MI/Portage/1419-Edington-St-49024/home/96642355,SW Michigan MLS,19058071,N,Y,42.2230173,-85.6059598
MLS Listing,,Single Family Residential,7106 S 10th St,Kalamazoo,MI,49009,324000,4,2.5,K25 - Texas Township,2244,26136,2015,9,144,,Active,,,http://www.redfin.com/MI/Kalamazoo/7106-S-10th-St-49009/home/96295464,SW Michigan MLS,19058044,N,Y,42.2130029,-85.6675786
MLS Listing,,Single Family Residential,306 Parkland Ter,Portage,MI,49024,279500,5,3.0,K20 - South Portage,2902,12415,1993,11,96,,Active,,,http://www.redfin.com/MI/Portage/306-Parkland-Ter-49024/home/96182313,SW Michigan MLS,19057902,N,Y,42.1873407,-85.5918175
MLS Listing,,Condo/Co-op,8158 Flat Rock,Portage,MI,49024,299900,2,2.0,K20 - South Portage,1390,,,11,216,285,Active,,,http://www.redfin.com/MI/Portage/8158-Flat-Rock-Rdg-49024/home/143128652,SW Michigan MLS,19057869,N,Y,42.1978026,-85.6178297
MLS Listing,,Single Family Residential,713 Cottondale Ave,Portage,MI,49024,114900,3,1.0,K19 - North Portage,974,8276,1960,11,118,,Active,,,http://www.redfin.com/MI/Portage/713-Cottondale-Ave-49024/home/96198918,SW Michigan MLS,19057831,N,Y,42.2248733,-85.5971615
MLS Listing,,Single Family Residential,5849 Heverly Dr,Portage,MI,49024,215000,3,2.5,K20 - South Portage,2026,17424,1975,12,106,,Active,,,http://www.redfin.com/MI/Portage/5849-Heverly-Dr-49024/home/111953269,SW Michigan MLS,19057730,N,Y,42.231701,-85.622849
MLS Listing,,Single Family Residential,3175 Lites-end Ct,Portage,MI,49024,369900,4,2.5,K19 - North Portage,3976,22651,1983,12,93,,Active,,,http://www.redfin.com/MI/Portage/3175-Lites-End-Ct-49024/home/96234010,SW Michigan MLS,19057670,N,Y,42.2247941,-85.6273269
MLS Listing,,Single Family Residential,3103 Morgan St,Kalamazoo,MI,49001,142000,2,1.5,K01 - Milwood,1216,6011,1945,13,117,,Active,,,http://www.redfin.com/MI/Kalamazoo/3103-Morgan-St-49001/home/96241276,SW Michigan MLS,19057650,N,Y,42.2604528,-85.5589695
MLS Listing,,Condo/Co-op,6109 Danford Creek Dr #1,Kalamazoo,MI,49009,64900,2,1.0,K22 - Oshtemo Twp,882,1,1981,13,74,189,Active,,,http://www.redfin.com/MI/Kalamazoo/6109-Danford-Creek-Dr-49009/unit-1/home/111973329,SW Michigan MLS,19057590,N,Y,42.2627738,-85.6697424
MLS Listing,,Single Family Residential,5364 Brandy Ave,Kalamazoo,MI,49009,365000,4,2.5,K22 - Oshtemo Twp,2978,14985,2003,13,123,,Active,,,http://www.redfin.com/MI/Kalamazoo/5364-Brandy-Ave-49009/home/111959184,SW Michigan MLS,19057561,N,Y,42.2460713,-85.6554083
MLS Listing,,Single Family Residential,7914 Kingston Dr,Portage,MI,49002,139900,3,1.5,K19 - North Portage,1110,6098,1953,14,126,,Active,,,http://www.redfin.com/MI/Portage/7914-Kingston-Dr-49002/home/96165462,SW Michigan MLS,19057488,N,Y,42.2020203,-85.5841823
MLS Listing,,Vacant Land,1561 Canal St,Portage,MI,49002,79900,,,K21 - Schoolcraft & Prairie Ronde Twp,,26136,,14,,,Active,,,http://www.redfin.com/MI/Portage/1561-Canal-St-49002/home/111978624,SW Michigan MLS,19057484,N,Y,42.1544933,-85.5717628
MLS Listing,,Condo/Co-op,2062 Hailey Ct,Portage,MI,49024,234900,2,2.0,K19 - North Portage,1188,177725,2019,14,198,150,Active,,,http://www.redfin.com/MI/Portage/2062-Hailey-CT-49024/home/170037798,SW Michigan MLS,19057457,N,Y,42.221182,-85.61369
MLS Listing,,Single Family Residential,6825 E Rs Ave,Scotts,MI,49088,255000,3,3.5,K16 - Pavillion & Climax Tw,1950,21780,1999,14,131,,Active,,,http://www.redfin.com/MI/Scotts/6825-Rs-Ave-E-49088/home/96199063,SW Michigan MLS,19057413,N,Y,42.1797611,-85.4946492
