SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-26-2020,Single Family Residential,507 Lay Blvd,Kalamazoo,MI,49001,85000,2,1.5,K10 - Edison/Washington Sq,864,4300,1921,6,98,,Sold,,,http://www.redfin.com/MI/Kalamazoo/507-Lay-Blvd-49001/home/96590906,SW Michigan MLS,20001922,N,Y,42.2734255,-85.5748579
PAST SALE,June-6-2019,Vacant Land,,Mattawan,MI,49071,55000,,,,,41556,,300,,,Sold,,,http://www.redfin.com/MI/Mattawan/Undisclosed-address-49071/home/137285637,SW Michigan MLS,19016646,N,Y,42.2652906,-85.7911044
PAST SALE,,Single Family Residential,2398 N 33rd St,Galesburg,MI,49053,182500,,,,,51836,,,,,,,,http://www.redfin.com/MI/Galesburg/2398-N-33rd-St-49053/home/96328611,,,N,Y,42.3100815,-85.4433398
PAST SALE,August-20-2019,Condo/Co-op,2658 Bluestone Cir,Kalamazoo,MI,49009,264500,2,2.0,K22 - Oshtemo Twp,1812,,2006,225,146,350,Sold,,,http://www.redfin.com/MI/Kalamazoo/2658-Bluestone-Cir-49009/home/111990063,SW Michigan MLS,19035452,N,Y,42.2654992,-85.6812471
PAST SALE,August-23-2019,Single Family Residential,7033 W Ml Ave,Kalamazoo,MI,49009,42000,3,1.0,K22 - Oshtemo Twp,1334,10890,1945,222,31,,Sold,,,http://www.redfin.com/MI/Kalamazoo/7033-W-Ml-Ave-49009/home/110147221,SW Michigan MLS,19040969,N,Y,42.2666934,-85.6879273
PAST SALE,,Single Family Residential,2927 S 8th St,Kalamazoo,MI,49009,174000,,,,,426017,,,,,,,,http://www.redfin.com/MI/Kalamazoo/2927-S-8th-St-49009/home/111958191,,,N,Y,42.2626695,-85.6848596
PAST SALE,June-25-2019,Single Family Residential,4241 Somerset Ave,Kalamazoo,MI,49001,131500,3,2.0,K01 - Milwood,2283,11761,1955,281,58,,Sold,,,http://www.redfin.com/MI/Kalamazoo/4241-Somerset-Ave-49001/home/96285720,SW Michigan MLS,19004462,N,Y,42.2477182,-85.5557016
PAST SALE,September-23-2019,Single Family Residential,22379 Bluebird Ave,Mattawan,MI,49071,220000,4,3.0,K81 - Waverly & Almena Twp,2122,28314,2002,191,104,3,Sold,,,http://www.redfin.com/MI/Mattawan/22379-Bluebird-Ave-49071/home/96560583,SW Michigan MLS,19034399,N,Y,42.2727211,-85.7696782
PAST SALE,May-10-2019,Single Family Residential,8442 S 8th St,Kalamazoo,MI,49009,222500,3,2.0,K25 - Texas Township,1586,32234,1994,327,140,,Sold,,,http://www.redfin.com/MI/Kalamazoo/8442-S-8th-St-49009/home/96349187,SW Michigan MLS,19009409,N,Y,42.1946415,-85.6873457
PAST SALE,,Single Family Residential,1499 S Crooked Lake Dr,Kalamazoo,MI,49009,282000,,,,,9583,,,,,,,,http://www.redfin.com/MI/Kalamazoo/1499-S-Crooked-Lake-Dr-49009/home/96429137,,,N,Y,42.2042906,-85.7019238
PAST SALE,June-13-2019,Single Family Residential,7016 S 6th St,Kalamazoo,MI,49009,165900,3,1.0,K25 - Texas Township,1044,94960,1873,293,159,,Sold,,,http://www.redfin.com/MI/Kalamazoo/7016-S-6th-St-49009/home/96161035,SW Michigan MLS,19003405,N,Y,42.2154661,-85.7064548
PAST SALE,June-28-2019,Single Family Residential,7860 Crooked Cove St,Kalamazoo,MI,49009,515000,5,4.5,K25 - Texas Township,4035,32670,2011,278,128,17,Sold,,,http://www.redfin.com/MI/Kalamazoo/7860-Crooked-Cove-St-49009/home/96750589,SW Michigan MLS,19013930,N,Y,42.2036156,-85.6962294
PAST SALE,August-9-2019,Single Family Residential,7940 Port Hope Dr,Kalamazoo,MI,49009,395000,5,3.5,K25 - Texas Township,3260,19602,2013,236,121,,Sold,,,http://www.redfin.com/MI/Kalamazoo/7940-Port-Hope-Dr-49009/unit-41/home/96726467,SW Michigan MLS,19024333,N,Y,42.1926833,-85.7052353
PAST SALE,May-1-2019,Single Family Residential,7239 Orly Ct,Kalamazoo,MI,49009,250000,4,2.5,K25 - Texas Township,2158,26136,1994,336,116,,Sold,,,http://www.redfin.com/MI/Kalamazoo/7239-Orly-Ct-49009/home/96172717,SW Michigan MLS,19011323,N,Y,42.2120226,-85.6501906
PAST SALE,September-12-2019,Single Family Residential,902 W North St,Kalamazoo,MI,49007,25000,0,,K08 - N Side w/in City Limits,,10050,1900,202,,,Sold,,,http://www.redfin.com/MI/Kalamazoo/902-W-North-St-49007/home/111964954,SW Michigan MLS,19041174,N,Y,42.297844,-85.5963579
